Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Month,Age,TotalAmountSpent,TotalPurchasesMade,TotalAcceptedCampaigns,WebEngagementRatio,FamilySize,IncomePerMember,RecencyMonths,CustomerLoyalty,TimeSinceEnrollment,InteractionWithPromotions
1987,0,2,17323,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,10,37,46,4,0,8.0,0,17323.0,1.2483574244415243,1,4129,1
1946,1,0,82800,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,11,78,1315,25,3,0.42857142857142855,0,82800.0,0.7555847568988173,1,4084,4
1980,0,2,41850,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,12,44,96,6,0,2.6666666666666665,2,13950.0,1.6754270696452036,1,4054,3
1946,0,1,37760,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,8,78,317,11,0,1.75,0,37760.0,0.657030223390276,1,4169,2
1949,2,2,76995,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,3,75,1782,24,1,0.45454545454545453,1,38497.5,2.9894875164257555,1,3960,3
1985,4,0,33812,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,11,39,133,6,0,3.0,1,16906.0,2.8252299605781865,1,4105,2
1982,0,2,37040,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,8,42,316,11,0,2.0,0,37040.0,1.3469119579500657,1,4192,1
1979,0,2,2447,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,1,45,1730,28,0,0.0,1,1223.5,1.3797634691195795,1,4041,15
1949,1,2,58607,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,12,75,972,14,1,4.0,1,29303.5,2.0696452036793693,1,4055,4
1954,1,2,65324,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,1,70,544,17,0,0.6666666666666666,1,32662.0,0.0,1,3671,3
1951,0,1,40689,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,3,73,444,13,0,1.1428571428571428,1,20344.5,2.266754270696452,1,3970,7
1969,0,0,18589,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,1,55,75,6,0,3.5,0,18589.0,2.923784494086728,1,4045,2
1976,0,2,53359,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,5,48,257,10,0,1.4,2,17786.333333333332,0.1314060446780552,1,3900,4
1986,0,0,52247,1,0,2013-02-20,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,3,11,0,2,38,637,27,0,0.037037037037037035,1,26123.5,0.6241787122207622,1,3996,0
1989,0,2,38360,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,5,35,131,7,0,1.5,1,19180.0,0.8541392904073587,1,3896,2
1965,1,2,84618,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,11,59,1672,25,1,0.3333333333333333,0,84618.0,3.1537450722733245,1,3721,2
1989,2,3,10979,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,5,35,30,6,0,1.6666666666666667,0,10979.0,1.1169513797634691,1,3540,2
1963,2,1,38620,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,5,61,318,10,0,1.5,0,38620.0,1.8396846254927726,1,3916,1
1970,0,1,40548,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,10,54,120,7,1,2.5,1,20274.0,1.0183968462549278,1,4129,3
1952,1,3,46610,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,10,72,302,11,1,1.5,2,15536.666666666666,0.2628120893561104,1,4110,7
1946,2,2,68657,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,2,78,1196,17,0,2.3333333333333335,0,68657.0,0.1314060446780552,1,3996,1
1951,2,0,49389,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,8,73,65,5,0,3.5,2,16463.0,1.8068331143232588,1,3806,1
1970,1,2,67353,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,12,54,913,23,0,0.4,1,33676.5,1.2155059132720105,1,3682,5
1976,4,2,23718,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,9,48,81,6,0,2.3333333333333335,1,11859.0,2.4967148488830486,1,3802,3
1973,0,4,42429,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,2,51,67,5,0,5.0,1,21214.5,3.252299605781866,1,3640,2
1943,1,3,48948,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,2,81,902,22,2,0.8571428571428571,0,48948.0,1.7411300919842312,1,4015,4
1980,0,2,80011,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,4,44,1395,19,0,0.5,1,40005.5,0.09855453350854139,1,3928,2
1985,2,2,20559,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,3,39,53,5,0,4.0,1,10279.5,2.890932982917214,1,3976,2
1957,0,1,21994,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,12,67,22,3,0,0.0,1,10997.0,0.1314060446780552,1,4054,1
1959,1,0,52247,0,0,2013-11-05,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,3,11,0,11,65,186,8,0,2.0,0,52247.0,2.628120893561104,1,3738,1
1975,2,2,7500,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,10,49,31,5,0,2.5,1,3750.0,0.6241787122207622,1,3772,3
1976,0,0,79941,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,6,48,984,15,0,0.5,0,79941.0,2.3653088042049935,1,3503,1
1996,4,2,7500,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,11,28,122,7,1,3.0,0,7500.0,0.7884362680683311,1,4099,4
1968,0,1,41728,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,5,56,55,4,0,5.0,1,20864.0,3.0223390275952693,1,3903,1
1951,0,0,52247,2,1,2014-01-01,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,3,11,0,1,73,124,7,0,3.0,3,13061.75,3.1537450722733245,1,3681,3
1954,1,2,72550,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,11,70,1319,19,0,1.6,2,24183.333333333332,1.281208935611038,1,4100,9
1957,0,4,65486,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,5,67,507,16,0,0.5,1,32743.0,0.9526938239159001,1,3550,1
1964,2,2,79143,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,8,60,1693,28,0,0.5,0,79143.0,0.0657030223390276,1,4189,1
1977,0,0,35790,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,1,47,72,5,0,3.5,1,17895.0,1.773981603153745,1,4045,2
1977,0,3,82582,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,6,47,1617,20,3,0.25,0,82582.0,1.773981603153745,1,3524,4
1978,0,2,66373,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,6,46,606,16,0,0.75,2,22124.333333333332,1.8725361366622864,1,3884,7
1955,2,1,82384,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,11,69,1957,26,2,0.3333333333333333,0,82384.0,1.8068331143232588,1,4089,3
1966,0,3,70287,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,4,58,1093,20,1,0.6,0,70287.0,0.9855453350854139,1,3955,2
1988,0,0,27938,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,4,36,29,5,0,3.0,1,13969.0,1.0183968462549278,1,3564,1
1982,0,0,52247,1,0,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,3,11,0,6,42,46,5,0,3.0,1,26123.5,1.8725361366622864,1,3879,2
1968,1,2,55954,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,3,56,518,16,0,0.875,1,27977.0,2.0696452036793693,1,3620,3
1982,2,0,75777,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,7,42,1438,20,3,0.3333333333333333,0,75777.0,0.39421813403416556,1,3862,4
1975,0,1,66653,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,9,49,612,18,0,0.75,2,22217.666666666668,0.5913272010512484,1,4162,4
1952,0,0,61823,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,2,72,884,20,0,0.875,1,30911.5,0.8541392904073587,1,3998,4
1951,1,4,67680,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,6,73,606,18,0,0.7142857142857143,1,33840.0,0.2628120893561104,1,3885,1
1948,0,1,70666,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,12,76,1076,15,0,0.5714285714285714,0,70666.0,0.9526938239159001,1,3707,1
1971,0,2,25721,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,5,53,34,4,1,7.0,1,12860.5,2.463863337713535,1,3906,2
1967,0,1,32474,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,5,57,11,3,0,7.0,2,10824.666666666666,0.0,1,3551,1
1979,4,0,88194,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,3,45,1274,31,3,0.45454545454545453,1,44097.0,0.6241787122207622,1,3604,4
1958,0,1,69096,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,9,66,653,17,0,0.8,1,34548.0,0.1314060446780552,1,3777,1
1970,0,1,74854,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,4,54,1562,12,0,2.5,3,18713.5,2.9566360052562417,1,3949,7
1954,2,2,66991,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,9,70,1253,18,0,0.75,0,66991.0,0.0328515111695138,1,4158,3
1973,4,2,52247,1,0,2012-09-14,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,3,11,0,9,51,109,6,0,2.6666666666666665,1,26123.5,0.8212877792378449,1,4155,3
1959,0,2,65031,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,3,65,863,26,0,0.7,1,32515.5,0.9526938239159001,1,3971,4
1975,1,2,60631,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,4,49,661,19,1,0.7777777777777778,2,20210.333333333332,2.890932982917214,1,3952,6
1952,0,2,28332,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,4,72,65,7,0,1.0,0,28332.0,1.9053876478318001,1,3562,1
1977,0,3,40246,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,12,47,13,3,0,6.0,1,20123.0,2.2339027595269383,1,4059,1
1972,2,2,75251,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,8,52,1890,18,1,0.7142857142857143,0,75251.0,1.1169513797634691,1,4173,2
1976,0,0,75825,0,0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,10,48,2209,22,2,0.8,0,75825.0,1.314060446780552,1,4127,2
1976,4,1,26326,0,0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,9,48,18,3,0,0.0,0,26326.0,0.39421813403416556,0,3800,1
1965,0,1,56046,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,1,59,692,19,2,0.8,0,56046.0,0.2956636005256242,1,4045,4
1985,0,0,29760,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,8,39,165,8,0,2.6666666666666665,1,14880.0,2.8580814717477003,1,4171,4
1969,0,2,26304,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,6,55,16,3,0,7.0,1,13152.0,0.164257555847569,1,3873,1
1973,4,2,23559,1,0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,7,51,79,6,0,2.3333333333333335,1,11779.5,2.8580814717477003,1,3863,3
1963,2,1,38620,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,5,61,318,10,0,1.5,0,38620.0,1.8396846254927726,1,3916,1
1987,0,3,81361,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,2,37,778,26,0,0.3333333333333333,0,81361.0,0.5913272010512484,1,3626,1
1960,0,2,29440,1,1,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,8,64,56,5,0,7.0,2,9813.333333333334,3.1208935611038107,1,3824,2
1970,2,2,36138,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,7,54,151,8,1,2.3333333333333335,2,12046.0,1.5768725361366622,1,3850,6
1957,0,0,50388,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,5,67,372,13,3,1.1666666666666667,1,25194.0,0.09855453350854139,1,3534,7
1973,0,2,79593,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,5,51,1366,18,1,0.4,0,79593.0,2.299605781865966,1,3550,2
1967,0,1,54178,0,1,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,1,57,194,9,0,1.0,1,27089.0,2.59526938239159,1,3661,1
1957,1,2,52247,2,1,2012-11-19,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,3,11,0,11,67,603,17,0,1.2857142857142858,3,13061.75,0.1314060446780552,1,4089,12
1957,0,0,52247,1,1,2014-05-27,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,5,67,18,3,0,7.0,2,17415.666666666668,1.4783180026281209,1,3535,1
1973,2,1,52247,0,0,2013-11-23,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,3,11,0,11,51,985,14,0,0.5,0,52247.0,2.8580814717477003,1,3720,1
1972,2,0,42394,1,0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,3,52,32,4,0,7.0,1,21197.0,2.266754270696452,1,3600,1
1970,1,2,23626,1,0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,5,54,43,7,0,1.6666666666666667,1,11813.0,2.759526938239159,1,3538,3
1983,0,2,30096,1,0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,5,41,45,5,0,3.0,1,15048.0,0.9855453350854139,1,3540,1
1960,0,4,47916,0,1,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,11,64,606,17,1,0.8571428571428571,1,23958.0,2.3653088042049935,1,4086,6
1972,0,3,51813,1,1,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,4,52,63,5,0,3.5,2,17271.0,1.2155059132720105,1,3946,2
1951,4,2,78497,0,0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,12,73,978,24,1,0.4,0,78497.0,1.445466491458607,1,3712,2
1983,1,2,50150,0,0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,6,41,410,14,0,1.0,0,50150.0,1.0512483574244416,1,3876,2
1960,4,0,47823,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,7,64,72,5,0,4.0,1,23911.5,0.0,1,3843,2
1959,1,0,34554,0,1,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,3,65,55,5,0,3.0,1,17277.0,1.4126149802890933,1,3593,2
1979,0,1,85693,0,1,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,4,45,1169,25,0,0.5555555555555556,1,42846.5,1.938239159001314,1,3937,2
1945,1,2,65846,0,0,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,5,79,1120,15,0,0.6666666666666666,0,65846.0,2.2339027595269383,1,3910,1
1959,0,2,87195,0,0,2014-05-08,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,5,65,1097,19,1,0.3333333333333333,0,87195.0,1.149802890932983,1,3554,2
1979,3,1,24594,1,0,2013-12-10,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,12,45,29,4,0,5.0,1,12297.0,3.088042049934297,1,3703,1
1964,0,2,49096,1,1,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,9,60,187,9,0,1.75,2,16365.333333333334,0.49277266754270693,1,3780,4
1969,0,2,52413,0,2,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,2,55,910,22,0,1.0,2,17471.0,1.8396846254927726,1,4014,4
1978,0,0,38557,1,0,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0,12,46,145,7,0,2.3333333333333335,1,19278.5,0.5584756898817346,1,4059,2
1960,2,2,89058,0,0,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,12,64,850,13,0,0.4,0,89058.0,0.5913272010512484,1,4071,1
1979,0,1,77298,0,1,2013-11-02,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,11,45,969,23,0,0.5,1,38649.0,1.5111695137976346,1,3741,1
1991,1,0,68126,0,0,2012-11-10,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1,11,33,1820,16,2,1.2857142857142858,0,68126.0,1.314060446780552,1,4098,3
1963,2,1,57288,0,1,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0,6,61,608,17,1,0.75,1,28644.0,0.8869908015768725,1,3506,4
1991,0,0,86037,0,0,2013-01-02,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,3,11,1,1,33,730,24,3,0.5,0,86037.0,3.1208935611038107,1,4045,4
1980,1,2,43974,1,0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0,12,44,551,16,0,1.1666666666666667,1,21987.0,0.6241787122207622,1,4066,5
1962,0,0,50785,1,1,2013-09-10,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0,9,62,114,6,0,3.0,2,16928.333333333332,0.8869908015768725,1,3794,2
1970,0,2,90765,0,0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,3,11,0,1,54,1724,15,2,0.25,0,90765.0,0.8212877792378449,1,3658,2
1978,4,2,36550,1,0,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,0,2,46,577,15,0,1.0,1,18275.0,2.431011826544021,1,3997,5
1967,4,1,30753,1,1,2013-07-11,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,3,11,0,7,57,81,5,0,5.0,2,10251.0,2.7923784494086727,1,3855,2
1969,0,1,21918,1,0,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,3,11,0,11,55,33,5,0,3.0,1,10959.0,1.2155059132720105,1,3729,2
1953,2,1,56129,0,1,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0,6,71,660,18,0,0.6666666666666666,1,28064.5,2.135348226018397,1,3876,4
1967,2,0,32557,1,0,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,3,11,1,2,57,80,6,1,2.5,1,16278.5,0.42706964520367935,1,3627,4
1985,2,2,19510,2,0,2013-09-04,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,9,39,30,4,0,7.0,2,6503.333333333333,2.0696452036793693,1,3800,2
1976,0,3,30992,1,0,2013-04-22,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,3,11,0,4,48,43,4,0,7.0,1,15496.0,2.726675427069645,1,3935,1
1983,0,0,101970,0,0,2013-03-12,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,3,11,1,3,41,1135,27,4,0.3333333333333333,0,101970.0,2.266754270696452,1,3976,4
1965,4,1,71488,0,0,2013-02-18,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,3,11,0,2,59,559,14,0,0.3333333333333333,0,71488.0,2.8580814717477003,1,3998,2
1984,0,0,79607,0,0,2013-04-21,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,3,11,1,4,40,1923,15,1,0.3333333333333333,0,79607.0,1.2155059132720105,1,3936,2
1953,2,2,54348,1,1,2014-06-08,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,3,11,0,6,71,90,6,0,3.0,2,18116.0,1.6754270696452036,1,3523,2
1961,1,2,52247,0,1,2013-07-11,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,3,11,0,7,63,404,14,0,1.0,1,26123.5,0.7555847568988173,1,3855,3
1956,1,1,77376,1,1,2014-05-10,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,3,11,0,5,68,661,19,0,0.6666666666666666,2,25792.0,2.3653088042049935,1,3552,4
1952,0,2,62998,0,1,2013-09-30,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,3,11,0,9,72,463,14,0,1.0,1,31499.0,0.328515111695138,1,3774,5
